,day,date,hospitalized,icu,ventilated
119,91,2020-07-04,37.47492943580983,11.242478830743039,7.494985887161874
120,92,2020-07-05,35.358294971963915,10.60748849158881,7.071658994393147
121,93,2020-07-06,33.36698807555149,10.01009642266581,6.673397615109934
122,94,2020-07-07,31.49347822589334,9.448043467768002,6.298695645178668
123,95,2020-07-08,29.730635401723703,8.919190620516929,5.946127080344922
124,96,2020-07-09,28.071723146273143,8.421516943882125,5.614344629254447
125,97,2020-07-10,26.510388365186373,7.953116509555002,5.3020776730372745
126,98,2020-07-11,25.04064870781076,7.512194612343592,5.008129741562243
127,99,2020-07-12,23.65687823045846,7.097063469137993,4.731375646091692
128,100,2020-07-13,22.35379191028005,6.706137573083197,4.470758382055919
